"code";"name";"versjon"
"1818,1820,1822,1827,1835";"HERØY (NORDLAND), ALSTADHAUG, LEIRFJORD, DØNNA, TRÆNA";1
"1839,1840";"BEIARN, SALTDAL";1
"1859,1860,1874";"FLAKSTAD, VESTVÅGØY, MOSKENES";1
"1851,1866,1867,1868,1870,1871";"LØDINGEN, HADSEL, BØ, ØKSNES, SORTLAND, ANDØY";1
"3039,3040,3041,3042,3043,3044";"FLÅ, NESBYEN, GOL, HEMSEDAL, ÅL, HOL";1
"3050,3051,3052";"FLESBERG, ROLLAG, NORE OG UVDAL";1
"5025,5026,3430";"RØROS, HOLTÅLEN, OS";1
"3449,3450,3451,3453";"SØR-AURDAL, ETNEDAL, NORD-AURDAL, ØYSTRE SLIDRE";1
"3820,3821,3822,3823,3824,3825";"SELJORD, KVITESEID, NISSEDAL, FYRESDAL, TOKKE, VINJE";1
"4220,4221,4222";"BYGLAND, VALLE, BYKLE";1
"4618,4619,4620";"ULLENSVANG, EIDFJORD, ULVIK";1
"5419,5420";"SØRREISA, DYRØY";1
"5440,5443";"BERLEVÅG, BÅTSFJORD";1
"1101,1111,1112";"EIGERSUND, SOKNDAL, LUND";1
"1106,1151";"HAUGESUND , UTSIRA";1
"1144,1127";"KVITSØY, RANDABERG";1
"1134,1135";"SULDAL, SAUDA";1
"1145,1149";"BOKN, KARMØY";1
"1505,1554,1557";"KRISTIANSUND, AVERØY, GJEMNES";1
"1506,1535,1547";"MOLDE, VESTNES, AUKRA";1
"1507,1578";"ÅLESUND, FJORD";1
"1515,1511";"HERØY (MØRE OG ROMSDAL), VANYLVEN";1
"1837,1804,1838,1848,1856,1857";"HAMARØY, BODØ, GILDESKÅL, STEIGEN, RØST, VERØY";1
"1806,1853";"NARVIK, EVENES";1
"1811,1812,1813,1815,1816";"BINDAL, SØMNA, BRØNNØY, VEGA, VEVELSTAD";1
"3045,3046,3047";"SIGDAL, KRØDSHERAD, MODUM";1
"3407,3447,3448";"GJØVIK, SØNDRE LAND, NORDRE LAND";1
"3414,3415";"NORD-ODAL, SØR-ODAL";1
"3417,3418,3419";"GRUE, ÅSNES, VÅLER(INNLANDET)";1
"3424,3426,3427,3428,3429";"RENDALEN, TOLGA, TYNSET, ALVDAL, FOLLDAL";1
"3431,3432";"DOVRE, LESJA";1
"3433,3434,3435,3437";"SKJÅK, LOM, VÅGÅ, SEL";1
"3436,3438,3439";"NORD-FRON, SØR-FRON, RINGEBU";1
"3452,3454";"VESTRE SLIDRE, VANG";1
"3808,3819";"NOTODDEN, HJARTDAL";1
"3814,3815";"KRAGERØ, DRANGEDAL";1
"4201,4211,4212,4213,4217";"RISØR, GJERSTAD, VEGÅRSHEI, TVEDESTRAND, ÅMLI";1
"4213,4214,4225,4226,4227,4228";"FARSUND, FLEKKEFJORD, LYNGDAL, HÆGEBOSTAD, KVINESDAL, SIRDAL";1
"4218,4219,4223,4224";"IVELAND, EVJE OG HORNES, VENNESLA, ÅSERAL";1
"4613,4614,4615";"BØMLO, STORD, FITJAR";1
"4628,4639";"VAKSDAL, MODALEN";1
"4631,4632,4633";"ALVER, AUSTRHEIM, FEDJE";1
"4634,4635";"MASFJORDEN, GULEN";1
"4636,4637,4645,4646";"SOLUND, HYLLESTAD, ASKVOLL, FJALER";1
"4641,4642";"AURLAND, LÆRDAL";1
"500101,500102,500103,500104,500199";"MIDTBYEN, ØSTBYEN, LERKENDAL, HEIMDAL, UOPPGITT BYDEL TRONDHEIM";1
"5006,5053";"STEINKJER, INDERØY";1
"5007,5047,5049";"NAMSOS, OVERHALLA, FLATANGER";1
"5020,5054,5057,5058";"OSEN, INDRE FOSEN, ØRLAND, ÅFJORD";1
"5021,5022";"OPPDAL, RENNEBU";1
"5028,5029";"MELHUS, SKAUN";1
