"kommunenummer_2018";"kommunenavn_2018";"kommunenummer_2019";"kommunenavn_2019";"endringsmerknad_18_19"
"1438";"Bremanger";"1438";"Bremanger";"uendret fra 2018 til 2019"
"1439";"Vågsøy";"1439";"Vågsøy";"uendret fra 2018 til 2019"
"1441";"Selje";"1441";"Selje";"uendret fra 2018 til 2019"
"1443";"Eid";"1443";"Eid";"uendret fra 2018 til 2019"
"1444";"Hornindal";"1444";"Hornindal";"uendret fra 2018 til 2019"
"1445";"Gloppen";"1445";"Gloppen";"uendret fra 2018 til 2019"
"1449";"Stryn";"1449";"Stryn";"uendret fra 2018 til 2019"
"1502";"Molde";"1502";"Molde";"uendret fra 2018 til 2019"
"1504";"Ålesund";"1504";"Ålesund";"uendret fra 2018 til 2019"
"1505";"Kristiansund";"1505";"Kristiansund";"uendret fra 2018 til 2019"
"1511";"Vanylven";"1511";"Vanylven";"uendret fra 2018 til 2019"
"1514";"Sande";"1514";"Sande";"uendret fra 2018 til 2019"
"1515";"Herøy";"1515";"Herøy";"uendret fra 2018 til 2019"
"1516";"Ulstein";"1516";"Ulstein";"uendret fra 2018 til 2019"
"1517";"Hareid";"1517";"Hareid";"uendret fra 2018 til 2019"
"1519";"Volda";"1519";"Volda";"uendret fra 2018 til 2019"
"1520";"Ørsta";"1520";"Ørsta";"uendret fra 2018 til 2019"
"1523";"Ørskog";"1523";"Ørskog";"uendret fra 2018 til 2019"
"1524";"Norddal";"1524";"Norddal";"uendret fra 2018 til 2019"
"1525";"Stranda";"1525";"Stranda";"uendret fra 2018 til 2019"
"1526";"Stordal";"1526";"Stordal";"uendret fra 2018 til 2019"
"1528";"Sykkylven";"1528";"Sykkylven";"uendret fra 2018 til 2019"
"1529";"Skodje";"1529";"Skodje";"uendret fra 2018 til 2019"
"1531";"Sula";"1531";"Sula";"uendret fra 2018 til 2019"
"1532";"Giske";"1532";"Giske";"uendret fra 2018 til 2019"
"1534";"Haram";"1534";"Haram";"uendret fra 2018 til 2019"
"1535";"Vestnes";"1535";"Vestnes";"uendret fra 2018 til 2019"
"1539";"Rauma";"1539";"Rauma";"uendret fra 2018 til 2019"
"1543";"Nesset";"1543";"Nesset";"uendret fra 2018 til 2019"
"1545";"Midsund";"1545";"Midsund";"uendret fra 2018 til 2019"
"1546";"Sandøy";"1546";"Sandøy";"uendret fra 2018 til 2019"
"1547";"Aukra";"1547";"Aukra";"uendret fra 2018 til 2019"
"1548";"Fræna";"1548";"Fræna";"uendret fra 2018 til 2019"
"1551";"Eide";"1551";"Eide";"uendret fra 2018 til 2019"
"1554";"Averøy";"1554";"Averøy";"uendret fra 2018 til 2019"
"1557";"Gjemnes";"1557";"Gjemnes";"uendret fra 2018 til 2019"
"1560";"Tingvoll";"1560";"Tingvoll";"uendret fra 2018 til 2019"
"1563";"Sunndal";"1563";"Sunndal";"uendret fra 2018 til 2019"
"1566";"Surnadal";"1566";"Surnadal";"uendret fra 2018 til 2019"
"1567";"Rindal";"5061";"Rindal";"kun endret nummer fra 2018 til 2019"
"1571";"Halsa";"1571";"Halsa";"uendret fra 2018 til 2019"
"1573";"Smøla";"1573";"Smøla";"uendret fra 2018 til 2019"
"1576";"Aure";"1576";"Aure";"uendret fra 2018 til 2019"
"1804";"Bodø";"1804";"Bodø";"uendret fra 2018 til 2019"
"1805";"Narvik";"1805";"Narvik";"uendret fra 2018 til 2019"
"1811";"Bindal";"1811";"Bindal";"uendret fra 2018 til 2019"
"1812";"Sømna";"1812";"Sømna";"uendret fra 2018 til 2019"
"1813";"Brønnøy";"1813";"Brønnøy";"uendret fra 2018 til 2019"
"1815";"Vega";"1815";"Vega";"uendret fra 2018 til 2019"
"1816";"Vevelstad";"1816";"Vevelstad";"uendret fra 2018 til 2019"
"1818";"Herøy";"1818";"Herøy";"uendret fra 2018 til 2019"
"1820";"Alstahaug";"1820";"Alstahaug";"uendret fra 2018 til 2019"
"1822";"Leirfjord";"1822";"Leirfjord";"uendret fra 2018 til 2019"
"1824";"Vefsn";"1824";"Vefsn";"uendret fra 2018 til 2019"
"1825";"Grane";"1825";"Grane";"uendret fra 2018 til 2019"
"1826";"Hattfjelldal";"1826";"Hattfjelldal";"uendret fra 2018 til 2019"
"1827";"Dønna";"1827";"Dønna";"uendret fra 2018 til 2019"
"1828";"Nesna";"1828";"Nesna";"uendret fra 2018 til 2019"
"1832";"Hemnes";"1832";"Hemnes";"uendret fra 2018 til 2019"
"1833";"Rana";"1833";"Rana";"uendret fra 2018 til 2019"
"1834";"Lurøy";"1834";"Lurøy";"uendret fra 2018 til 2019"
"1835";"Træna";"1835";"Træna";"uendret fra 2018 til 2019"
"1836";"Rødøy";"1836";"Rødøy";"uendret fra 2018 til 2019"
"1837";"Meløy";"1837";"Meløy";"uendret fra 2018 til 2019"
"1838";"Gildeskål";"1838";"Gildeskål";"uendret fra 2018 til 2019"
"1839";"Beiarn";"1839";"Beiarn";"uendret fra 2018 til 2019"
"1840";"Saltdal";"1840";"Saltdal";"uendret fra 2018 til 2019"
"1841";"Fauske - Fuossko";"1841";"Fauske - Fuossko";"uendret fra 2018 til 2019"
"1845";"Sørfold";"1845";"Sørfold";"uendret fra 2018 til 2019"
"1848";"Steigen";"1848";"Steigen";"uendret fra 2018 til 2019"
"1849";"Hábmer - Hamarøy";"1849";"Hábmer - Hamarøy";"uendret fra 2018 til 2019"
"1850";"Tysfjord - Divtasvuodna";"1850";"Tysfjord - Divtasvuodna";"uendret fra 2018 til 2019"
"1851";"Lødingen";"1851";"Lødingen";"uendret fra 2018 til 2019"
"1852";"Dielddanuorri - Tjeldsund";"1852";"Dielddanuorri - Tjeldsund";"uendret fra 2018 til 2019"
"1853";"Evenes";"1853";"Evenes";"uendret fra 2018 til 2019"
"1854";"Ballangen";"1854";"Ballangen";"uendret fra 2018 til 2019"
"1856";"Røst";"1856";"Røst";"uendret fra 2018 til 2019"
"1857";"Værøy";"1857";"Værøy";"uendret fra 2018 til 2019"
"1859";"Flakstad";"1859";"Flakstad";"uendret fra 2018 til 2019"
"1860";"Vestvågøy";"1860";"Vestvågøy";"uendret fra 2018 til 2019"
"1865";"Vågan";"1865";"Vågan";"uendret fra 2018 til 2019"
"1866";"Hadsel";"1866";"Hadsel";"uendret fra 2018 til 2019"
"1867";"Bø";"1867";"Bø";"uendret fra 2018 til 2019"
"1868";"Øksnes";"1868";"Øksnes";"uendret fra 2018 til 2019"
"1870";"Sortland - Suortá";"1870";"Sortland - Suortá";"uendret fra 2018 til 2019"
"1871";"Andøy";"1871";"Andøy";"uendret fra 2018 til 2019"
"1874";"Moskenes";"1874";"Moskenes";"uendret fra 2018 til 2019"
"1902";"Tromsø";"1902";"Tromsø";"uendret fra 2018 til 2019"
"1903";"Harstad - Hárstták";"1903";"Harstad - Hárstták";"uendret fra 2018 til 2019"
"1911";"Kvæfjord";"1911";"Kvæfjord";"uendret fra 2018 til 2019"
"1913";"Skånland";"1913";"Skånland";"uendret fra 2018 til 2019"
"1917";"Ibestad";"1917";"Ibestad";"uendret fra 2018 til 2019"
"1919";"Gratangen";"1919";"Gratangen";"uendret fra 2018 til 2019"
"1920";"Loabák - Lavangen";"1920";"Loabák - Lavangen";"uendret fra 2018 til 2019"
